location,bhk,washroom,total_sqft,furnishing,age,price,rent
Chuna Bhatti,2,2,756,Semi Furnished,1-5 years,46.73,40746.81
Bittan Market,2,2,1059,Fully Furnished,1-5 years,72.79,75190.24
Kolar Road,4,3,1968,Semi Furnished,5-10 years,129.58,150651.67
Ayodhya bypass,3,3,1308,Semi Furnished,1-5 years,63.38,70190.12
Lalghati,3,3,1170,Semi Furnished,New,72.58,80286.04
Arjun Nagar,5,4,2837,Semi Furnished,5-10 years,142.42,149989.96
Bawadiya Kalan,5,4,2933,Unfurnished,10+ years,179.53,155620.65
eidgah hills,2,2,1005,Fully Furnished,1-5 years,48.34,41827.34
Ayodhya nagar,3,3,1066,Fully Furnished,5-10 years,51.3,50154.05
Shyamla Hills,4,3,1801,Semi Furnished,5-10 years,119.99,117850.66
New market,4,3,2114,Fully Furnished,New,106.97,102375.46
Shyamla Hills,5,4,2007,Unfurnished,New,102.07,85454.89
Anand nagar,4,3,2082,Unfurnished,New,142.44,132528.69
Tajul masjid,4,3,2023,Semi Furnished,1-5 years,94.11,94156.16
sultaniya road,2,2,1088,Semi Furnished,10+ years,47.53,47578.35
Anand nagar,3,3,1007,Semi Furnished,New,48.11,40259.32
eidgah hills,1,1,732,Unfurnished,1-5 years,30.1,26247.36
Sonagiri,5,4,2815,Semi Furnished,1-5 years,131.82,145495.57
Indrapuri,1,1,585,Fully Furnished,10+ years,33.4,29079.49
Gulmohar,3,3,1076,Unfurnished,10+ years,66.98,60792.62
Tajul masjid,5,4,2026,Fully Furnished,5-10 years,109.56,104665.07
Kolar hills,1,1,505,Unfurnished,5-10 years,30.61,35257.87
Ayodhya nagar,1,1,519,Fully Furnished,10+ years,21.29,20484.3
Ratnagiri,4,3,1825,Unfurnished,10+ years,108.63,118316.17
Service road,3,3,1450,Unfurnished,New,58.31,63215.38
Vijay nagar,5,4,2546,Fully Furnished,5-10 years,169.57,177302.82
Lalghati,4,3,1758,Fully Furnished,New,121.62,144040.5
Vikas Nagar,2,2,1036,Unfurnished,New,63.88,51755.0
eidgah hills,5,4,2147,Unfurnished,1-5 years,140.25,124425.93
char Imli,1,1,722,Unfurnished,New,37.45,37052.24
Gulmohar,4,3,1499,Fully Furnished,10+ years,98.6,106129.74
Anand nagar,1,1,630,Fully Furnished,10+ years,25.36,26361.16
Kolar Road,2,2,1047,Semi Furnished,New,56.75,55065.48
Ayodhya nagar,5,4,2199,Unfurnished,10+ years,147.03,160127.13
Shivaji Nagar,2,2,1131,Unfurnished,1-5 years,50.84,51233.25
sultaniya road,4,3,2110,Fully Furnished,1-5 years,120.81,137297.05
char Imli,5,4,2633,Unfurnished,10+ years,113.47,128743.95
Ashoka garden,2,2,1075,Fully Furnished,New,60.43,63169.85
eidgah hills,1,1,731,Semi Furnished,5-10 years,44.44,48753.85
jahangirabad,4,3,1662,Semi Furnished,1-5 years,82.59,98042.16
jahangirabad,5,4,2256,Unfurnished,New,148.22,138289.8
Service road,5,4,2845,Unfurnished,1-5 years,193.03,196060.76
Shyamla Hills,4,3,2019,Semi Furnished,5-10 years,124.64,129863.97
VIP road,4,3,1847,Unfurnished,New,98.8,101753.89
Arjun Nagar,3,3,1071,Unfurnished,1-5 years,63.15,57593.25
Anand nagar,2,2,798,Fully Furnished,New,55.01,47789.23
Shyamla Hills,3,3,1395,Unfurnished,5-10 years,74.73,81495.87
Bairagarh,4,3,1412,Fully Furnished,New,88.68,100658.42
Habibganj,3,3,1479,Fully Furnished,5-10 years,78.01,84493.44
Ayodhya nagar,5,4,2768,Unfurnished,New,119.67,113830.18
VIP road,5,4,2973,Semi Furnished,10+ years,126.36,118263.16
Vikas Nagar,3,3,1101,Unfurnished,1-5 years,73.14,58708.71
eidgah hills,2,2,999,Unfurnished,10+ years,67.24,66987.53
eidgah hills,1,1,419,Semi Furnished,10+ years,24.53,21184.39
Indrapuri,2,2,1026,Unfurnished,5-10 years,56.6,57487.26
Narela,5,4,2948,Fully Furnished,New,143.92,122267.08
Lalghati,5,4,2747,Unfurnished,5-10 years,111.79,122773.79
New market,5,4,2172,Unfurnished,1-5 years,146.56,142269.28
Misrod,1,1,473,Fully Furnished,5-10 years,32.9,31566.82
Habibganj,2,2,1193,Unfurnished,5-10 years,51.32,52459.16
Sonagiri,2,2,806,Fully Furnished,5-10 years,36.78,41545.81
Ashoka garden,3,3,1273,Unfurnished,1-5 years,63.97,74277.22
Indrapuri,2,2,1140,Fully Furnished,10+ years,45.8,53432.65
Bairagarh,1,1,443,Semi Furnished,10+ years,18.24,16617.67
Arera Colony,2,2,947,Unfurnished,1-5 years,40.17,43984.85
Kolar hills,4,3,1489,Unfurnished,10+ years,60.23,59828.1
Narela,5,4,2189,Fully Furnished,New,103.21,97174.29
Ayodhya nagar,5,4,2785,Fully Furnished,1-5 years,120.8,136812.28
chuna bhatti,1,1,547,Semi Furnished,10+ years,29.37,23962.92
Shivaji Nagar,3,3,1241,Semi Furnished,5-10 years,66.6,55442.31
Karond,2,2,984,Unfurnished,10+ years,63.78,69106.75
Shanti Nagar,1,1,486,Fully Furnished,New,21.52,24387.37
Sonagiri,5,4,2396,Unfurnished,New,167.27,174418.14
Saket nagar,4,3,1753,Semi Furnished,5-10 years,74.71,81413.88
Anand nagar,5,4,2676,Unfurnished,1-5 years,158.88,182881.81
Gulmohar,3,3,1307,Fully Furnished,New,76.55,72252.63
Ashoka garden,3,3,1403,Semi Furnished,5-10 years,95.94,82280.36
eidgah hills,1,1,718,Unfurnished,10+ years,31.19,27743.7
Vikas Nagar,2,2,852,Unfurnished,5-10 years,52.33,59512.59
Bittan Market,3,3,1079,Fully Furnished,New,44.41,47892.3
Prabhat petrol pump,3,3,1095,Fully Furnished,10+ years,49.2,52053.8
ibrahimpura,2,2,1168,Fully Furnished,10+ years,53.7,57024.25
VIP road,1,1,522,Fully Furnished,New,32.49,29738.94
Nizamuddin colony,2,2,1199,Unfurnished,New,73.85,82427.52
Shivaji Nagar,5,4,2133,Unfurnished,New,146.7,161251.56
Sonagiri,2,2,1062,Fully Furnished,New,44.76,52724.59
Kamla Nagar,1,1,449,Semi Furnished,5-10 years,18.95,19313.88
jahangirabad,3,3,1324,Unfurnished,New,89.44,78038.52
Avadhpuri,3,3,1137,Semi Furnished,1-5 years,60.68,65416.44
Nizamuddin colony,2,2,856,Unfurnished,New,43.2,42018.75
Bawadiya Kalan,1,1,492,Unfurnished,5-10 years,22.3,20447.61
Misrod,3,3,1470,Fully Furnished,New,94.42,82519.13
Ayodhya nagar,3,3,1119,Semi Furnished,New,55.51,58015.05
Shyamla Hills,5,4,2956,Fully Furnished,5-10 years,173.22,157267.09
Shivaji Nagar,5,4,2378,Semi Furnished,1-5 years,104.77,88010.98
Nizamuddin colony,2,2,757,Semi Furnished,10+ years,41.75,42767.93
Sonagiri,4,3,1755,Unfurnished,10+ years,121.12,135632.06
Arera Colony,3,3,1222,Fully Furnished,New,68.78,82206.14
Bawadiya Kalan,2,2,976,Semi Furnished,10+ years,40.14,37042.81
Arera Colony,1,1,639,Unfurnished,New,26.05,21567.67
jahangirabad,3,3,1107,Semi Furnished,New,69.44,66415.59
sultaniya road,5,4,2510,Semi Furnished,New,131.12,123619.56
Saket nagar,1,1,666,Semi Furnished,1-5 years,30.72,33237.26
Sonagiri,2,2,1022,Semi Furnished,10+ years,48.86,55572.9
char Imli,3,3,1535,Unfurnished,5-10 years,78.18,75450.43
Karond,3,3,1137,Semi Furnished,5-10 years,73.47,86337.65
Avadhpuri,5,4,2489,Unfurnished,10+ years,126.08,137360.13
Lalghati,1,1,740,Semi Furnished,5-10 years,51.18,50359.59
Saket nagar,5,4,2338,Fully Furnished,10+ years,98.9,111705.57
ibrahimpura,2,2,1145,Semi Furnished,5-10 years,62.15,59611.37
Shivaji Nagar,1,1,446,Fully Furnished,10+ years,23.09,22917.94
jahangirabad,3,3,1373,Unfurnished,1-5 years,59.93,53720.67
Bawadiya Kalan,2,2,806,Semi Furnished,1-5 years,35.16,30866.71
Kolar Road,1,1,429,Semi Furnished,1-5 years,25.51,24118.09
Arjun Nagar,5,4,2935,Unfurnished,1-5 years,168.73,202016.03
Avadhpuri,2,2,1025,Fully Furnished,1-5 years,49.08,42232.92
Roshanpura,2,2,1072,Semi Furnished,New,53.39,62290.88
Shyamla Hills,1,1,457,Semi Furnished,New,28.63,30072.96
chuna bhatti,3,3,1424,Semi Furnished,1-5 years,75.95,74176.89
Misrod,5,4,2648,Fully Furnished,New,146.79,171088.97
char Imli,5,4,2132,Fully Furnished,5-10 years,124.81,121625.83
Habibganj,2,2,881,Semi Furnished,10+ years,35.9,32609.5
Ayodhya nagar,2,2,1140,Unfurnished,New,64.75,55919.23
New market,4,3,1793,Semi Furnished,5-10 years,108.11,90001.33
Tajul masjid,2,2,934,Unfurnished,10+ years,40.91,41435.1
Lalghati,1,1,769,Fully Furnished,New,45.88,43931.27
Nizamuddin colony,2,2,754,Semi Furnished,New,40.96,40951.38
Shyamla Hills,4,3,1930,Unfurnished,1-5 years,135.0,108542.67
Arjun Nagar,1,1,550,Fully Furnished,5-10 years,32.32,33289.75
jahangirabad,4,3,1784,Unfurnished,10+ years,120.39,106412.22
Ayodhya bypass,5,4,2087,Fully Furnished,10+ years,119.02,119322.5
Service road,1,1,447,Unfurnished,10+ years,31.09,36652.38
sultaniya road,2,2,735,Fully Furnished,New,30.23,33574.67
Habibganj,4,3,1635,Semi Furnished,5-10 years,99.36,92579.0
Narela,4,3,1809,Semi Furnished,5-10 years,80.08,76097.64
Hoshangabad Road,1,1,520,Fully Furnished,New,24.62,25121.06
eidgah hills,2,2,725,Semi Furnished,1-5 years,31.81,33044.84
Prabhat petrol pump,3,3,1186,Unfurnished,10+ years,52.84,55815.89
Bittan Market,3,3,1060,Unfurnished,5-10 years,69.77,75296.41
Ashoka garden,4,3,1607,Unfurnished,1-5 years,112.03,116985.94
Ratnagiri,2,2,1118,Fully Furnished,10+ years,55.71,61961.11
Govindpura,4,3,1935,Semi Furnished,1-5 years,109.78,114788.71
Ayodhya nagar,1,1,552,Semi Furnished,1-5 years,38.45,44578.04
Karond,5,4,2203,Unfurnished,1-5 years,122.92,128427.73
Arera Colony,3,3,1071,Semi Furnished,10+ years,71.1,60926.34
sultaniya road,5,4,2859,Fully Furnished,New,163.54,174613.2
Vijay nagar,4,3,2040,Unfurnished,5-10 years,121.34,103687.54
char Imli,4,3,1741,Fully Furnished,5-10 years,71.56,81042.85
ibrahimpura,4,3,1564,Fully Furnished,1-5 years,91.5,100595.19
Piplani,5,4,2317,Semi Furnished,1-5 years,105.47,111733.61
Minal,5,4,2085,Fully Furnished,10+ years,93.73,92358.71
Nizamuddin colony,4,3,1837,Fully Furnished,5-10 years,102.86,110123.98
sultaniya road,3,3,1379,Unfurnished,1-5 years,86.49,72158.03
Tajul masjid,5,4,2499,Unfurnished,New,169.95,174122.39
Habibganj,2,2,1167,Unfurnished,1-5 years,69.87,61092.45
Kolar hills,4,3,1927,Unfurnished,New,104.76,116348.61
Gandhi nagar,2,2,917,Semi Furnished,1-5 years,40.6,45116.91
sultaniya road,5,4,2297,Fully Furnished,1-5 years,134.52,153272.15
eidgah hills,4,3,1833,Unfurnished,5-10 years,87.98,103113.57
Service road,4,3,1993,Fully Furnished,1-5 years,133.67,126004.92
Roshanpura,1,1,611,Unfurnished,1-5 years,25.67,27687.83
Lalghati,5,4,2924,Fully Furnished,1-5 years,124.47,103122.05
Piplani,1,1,638,Semi Furnished,5-10 years,35.07,28980.47
chuna bhatti,4,3,1693,Fully Furnished,1-5 years,114.34,117807.46
Shivaji Nagar,1,1,696,Unfurnished,New,33.24,27933.17
Anand nagar,5,4,2729,Unfurnished,1-5 years,137.44,163213.21
Piplani,3,3,1073,Fully Furnished,1-5 years,67.69,80678.36
Bairagarh,4,3,1860,Unfurnished,5-10 years,107.94,126294.98
Piplani,3,3,1461,Unfurnished,10+ years,95.55,106481.68
Lalghati,1,1,641,Unfurnished,10+ years,34.21,30682.7
Gandhi nagar,2,2,1100,Fully Furnished,1-5 years,71.79,62617.5
Kolar Road,4,3,1939,Fully Furnished,1-5 years,117.87,123367.12
Kolar hills,5,4,2303,Semi Furnished,10+ years,157.0,131187.14
Piplani,4,3,2000,Fully Furnished,10+ years,118.92,121836.34
Chuna Bhatti,2,2,844,Unfurnished,5-10 years,34.49,32237.1
char Imli,1,1,471,Fully Furnished,1-5 years,32.92,27232.67
Kamla Nagar,3,3,1123,Fully Furnished,10+ years,70.4,75738.67
Saket nagar,2,2,943,Semi Furnished,5-10 years,46.55,48950.68
Ratnagiri,2,2,1051,Semi Furnished,10+ years,48.51,41663.69
Ayodhya nagar,4,3,2129,Fully Furnished,1-5 years,96.85,90904.14
Shyamla Hills,1,1,504,Fully Furnished,10+ years,34.18,28841.4
Vikas Nagar,2,2,1098,Fully Furnished,1-5 years,57.0,66450.61
Service road,5,4,2407,Unfurnished,5-10 years,118.06,128207.19
Kolar hills,1,1,669,Unfurnished,10+ years,29.94,35784.85
Sonagiri,2,2,773,Semi Furnished,10+ years,48.14,53911.77
New market,1,1,530,Fully Furnished,1-5 years,27.84,22736.23
VIP road,3,3,1582,Unfurnished,5-10 years,95.97,103156.1
Kamla Nagar,4,3,1968,Fully Furnished,1-5 years,86.15,78692.84
Shivaji Nagar,3,3,1174,Unfurnished,10+ years,77.33,64500.08
VIP road,3,3,1572,Fully Furnished,1-5 years,103.83,105365.11
Ratnagiri,3,3,1405,Fully Furnished,New,63.66,73291.45
MP Nagar,2,2,1047,Semi Furnished,New,44.31,51237.22
eidgah hills,5,4,2327,Fully Furnished,New,132.0,149192.14
Nizamuddin colony,3,3,1218,Semi Furnished,1-5 years,65.91,69156.56
Habibganj,3,3,1500,Unfurnished,10+ years,104.2,109601.09
Karond,2,2,1107,Semi Furnished,1-5 years,75.88,69910.15
Piplani,1,1,449,Fully Furnished,10+ years,30.18,26971.46
Service road,4,3,1401,Fully Furnished,New,84.76,96416.99
Ashoka garden,1,1,532,Fully Furnished,1-5 years,30.08,33178.17
Anand nagar,2,2,840,Fully Furnished,New,56.05,53849.51
char Imli,4,3,1679,Fully Furnished,New,101.25,120984.05
Hoshangabad Road,2,2,1140,Unfurnished,10+ years,72.94,69329.9
ibrahimpura,1,1,793,Unfurnished,New,44.33,49413.55
Bawadiya Kalan,3,3,1196,Semi Furnished,1-5 years,74.5,89093.83
char Imli,5,4,2779,Semi Furnished,5-10 years,142.84,144996.72
Karond,4,3,1931,Semi Furnished,New,88.51,98754.17
Anand nagar,3,3,1379,Unfurnished,New,56.21,66958.87
Bittan Market,2,2,993,Semi Furnished,1-5 years,43.77,48195.31
chuna bhatti,1,1,763,Fully Furnished,5-10 years,46.4,38496.77
Indrapuri,4,3,1608,Unfurnished,1-5 years,77.55,65113.92
Chuna Bhatti,4,3,1835,Semi Furnished,New,78.9,92490.68
Bairagarh,1,1,416,Fully Furnished,1-5 years,22.46,19765.29
Narela,2,2,1075,Fully Furnished,New,43.62,50727.58
Anand nagar,3,3,1250,Unfurnished,1-5 years,54.04,54914.71
MP Nagar,1,1,526,Fully Furnished,10+ years,25.18,20231.88
Shyamla Hills,1,1,578,Semi Furnished,5-10 years,36.5,36457.11
Govindpura,4,3,1625,Unfurnished,New,104.71,113098.64
Govindpura,1,1,729,Semi Furnished,10+ years,37.02,40775.49
Chuna Bhatti,4,3,1834,Semi Furnished,10+ years,75.44,67178.68
Kolar Road,1,1,768,Semi Furnished,New,33.66,33400.11
ibrahimpura,5,4,2612,Fully Furnished,10+ years,138.04,146225.44
Shanti Nagar,2,2,1139,Semi Furnished,New,75.08,70103.5
Karond,2,2,931,Semi Furnished,5-10 years,37.73,35281.92
Nizamuddin colony,2,2,863,Semi Furnished,1-5 years,58.35,64354.89
chuna bhatti,4,3,1400,Fully Furnished,1-5 years,79.41,91738.54
Service road,2,2,716,Fully Furnished,1-5 years,36.85,33694.53
VIP road,4,3,1688,Fully Furnished,New,107.69,123454.31
Kolar hills,4,3,2143,Unfurnished,10+ years,109.28,106679.04
Kamla Nagar,1,1,727,Semi Furnished,5-10 years,45.29,49906.79
Tajul masjid,1,1,764,Fully Furnished,1-5 years,42.51,47196.47
Vikas Nagar,2,2,998,Semi Furnished,1-5 years,53.68,57245.46
Kolar Road,4,3,2128,Semi Furnished,10+ years,142.96,164922.81
Piplani,5,4,2769,Fully Furnished,10+ years,152.38,130142.51
ibrahimpura,3,3,1561,Semi Furnished,10+ years,80.32,72974.88
Shyamla Hills,1,1,516,Unfurnished,1-5 years,24.44,21167.09
Ayodhya bypass,5,4,2338,Unfurnished,5-10 years,130.13,125934.26
Vijay nagar,2,2,1101,Semi Furnished,New,57.82,50328.15
Habibganj,3,3,1188,Unfurnished,10+ years,57.84,59762.99
Misrod,4,3,2124,Semi Furnished,New,141.4,124550.19
VIP road,3,3,1348,Semi Furnished,5-10 years,88.64,71450.03
Roshanpura,2,2,1011,Unfurnished,10+ years,53.76,59786.38
Kolar Road,3,3,1563,Unfurnished,5-10 years,97.29,80299.28
Lalghati,1,1,709,Fully Furnished,New,39.72,43038.0
Prabhat petrol pump,3,3,1551,Unfurnished,New,97.29,95776.22
Service road,1,1,582,Semi Furnished,New,24.23,26016.77
jahangirabad,2,2,870,Fully Furnished,10+ years,44.83,46693.31
Minal,1,1,529,Semi Furnished,10+ years,24.1,25426.1
Hoshangabad Road,4,3,2156,Unfurnished,1-5 years,138.81,146233.77
MP Nagar,1,1,435,Semi Furnished,10+ years,20.48,23767.44
chuna bhatti,4,3,2026,Semi Furnished,5-10 years,101.77,107337.91
jahangirabad,4,3,1431,Fully Furnished,New,65.21,61286.95
Saket nagar,5,4,2450,Semi Furnished,New,153.59,145424.62
Indrapuri,5,4,2332,Semi Furnished,1-5 years,151.65,148272.01
Ratnagiri,4,3,1717,Semi Furnished,10+ years,95.83,92244.78
Nizamuddin colony,5,4,2257,Fully Furnished,1-5 years,130.22,106079.22
Ratnagiri,5,4,2743,Semi Furnished,10+ years,139.66,149473.73
Roshanpura,1,1,685,Semi Furnished,10+ years,27.82,23513.12
Ashoka garden,5,4,2087,Unfurnished,New,102.41,107619.14
VIP road,5,4,2656,Fully Furnished,1-5 years,150.5,136772.85
Shivaji Nagar,5,4,2421,Semi Furnished,10+ years,142.74,131092.57
Ratnagiri,4,3,1457,Fully Furnished,1-5 years,88.46,72263.17
ibrahimpura,1,1,780,Fully Furnished,New,33.19,36978.09
Ratnagiri,4,3,2116,Fully Furnished,5-10 years,125.69,146499.24
Bittan Market,4,3,2137,Unfurnished,New,121.34,121977.07
VIP road,3,3,1069,Fully Furnished,10+ years,62.68,70019.09
Chuna Bhatti,2,2,1017,Semi Furnished,10+ years,70.11,64050.98
Barkheda,1,1,677,Unfurnished,10+ years,35.05,30056.47
sultaniya road,2,2,1155,Semi Furnished,1-5 years,74.2,66373.39
Arjun Nagar,4,3,1943,Fully Furnished,10+ years,124.9,115581.92
Prabhat petrol pump,5,4,2175,Unfurnished,10+ years,146.0,162358.66
Kolar Road,4,3,1414,Fully Furnished,1-5 years,82.1,72135.24
Ayodhya bypass,5,4,2166,Semi Furnished,10+ years,116.01,119011.08
Bawadiya Kalan,3,3,1317,Fully Furnished,1-5 years,58.52,54930.96
Govindpura,3,3,1370,Unfurnished,New,60.2,62271.43
Avadhpuri,1,1,513,Unfurnished,1-5 years,34.0,32439.68
Arjun Nagar,5,4,2423,Fully Furnished,New,98.54,101601.28
char Imli,2,2,922,Semi Furnished,5-10 years,37.42,31635.54
Nizamuddin colony,4,3,1763,Semi Furnished,1-5 years,107.12,101728.3
Kolar Road,1,1,699,Unfurnished,10+ years,42.41,50873.35
Lalghati,4,3,1566,Fully Furnished,10+ years,95.0,111838.9
ibrahimpura,3,3,1340,Fully Furnished,1-5 years,56.26,54428.73
Karond,3,3,1332,Semi Furnished,5-10 years,92.66,98701.36
Ayodhya nagar,1,1,653,Unfurnished,5-10 years,38.95,43282.82
Misrod,2,2,802,Unfurnished,5-10 years,45.66,52528.46
Roshanpura,4,3,1823,Semi Furnished,1-5 years,92.99,111474.34
Habibganj,5,4,2266,Unfurnished,5-10 years,93.99,101077.54
jahangirabad,1,1,612,Unfurnished,New,38.68,40809.18
Ashoka garden,5,4,2528,Unfurnished,1-5 years,113.21,124676.01
Arera Colony,1,1,733,Unfurnished,5-10 years,49.35,46945.61
kohefiza,5,4,2628,Semi Furnished,New,178.03,170721.54
Prabhat petrol pump,3,3,1121,Unfurnished,10+ years,55.08,54514.21
Sonagiri,3,3,1468,Unfurnished,New,92.7,81069.07
Kolar Road,2,2,1076,Semi Furnished,1-5 years,50.83,44980.92
Avadhpuri,5,4,2065,Unfurnished,5-10 years,107.12,103583.59
MP Nagar,4,3,1787,Semi Furnished,5-10 years,98.34,95092.72
Nizamuddin colony,2,2,955,Semi Furnished,New,43.11,34535.78
Ashoka garden,2,2,1072,Semi Furnished,10+ years,66.91,64071.25
Avadhpuri,5,4,2279,Fully Furnished,1-5 years,121.01,127581.14
Piplani,2,2,860,Fully Furnished,New,53.23,44095.1
Roshanpura,4,3,1828,Unfurnished,New,95.14,112423.36
Lalghati,2,2,886,Unfurnished,New,49.64,56635.83
Bairagarh,3,3,1258,Semi Furnished,New,53.91,54761.68
Misrod,1,1,792,Fully Furnished,10+ years,50.69,47391.83
Narela,1,1,792,Semi Furnished,New,45.89,36855.11
Barkheda,2,2,763,Fully Furnished,New,35.02,33707.51
Barkheda,4,3,1511,Semi Furnished,5-10 years,73.11,76761.51
Arera Colony,3,3,1099,Unfurnished,New,69.26,64669.76
Avadhpuri,2,2,1175,Semi Furnished,New,75.29,83117.58
Gulmohar,5,4,2268,Semi Furnished,1-5 years,140.28,133416.19
MP Nagar,4,3,2162,Semi Furnished,10+ years,143.61,163018.3
Gulmohar,4,3,1958,Unfurnished,New,124.77,108966.09
Misrod,4,3,1908,Fully Furnished,1-5 years,103.94,116561.84
Saket nagar,3,3,1173,Semi Furnished,1-5 years,53.87,53782.52
Bawadiya Kalan,5,4,2199,Fully Furnished,New,153.55,173262.03
Minal,5,4,2390,Semi Furnished,10+ years,104.89,106566.87
Barkheda,5,4,2979,Semi Furnished,10+ years,155.86,136977.77
Narela,1,1,609,Fully Furnished,5-10 years,30.67,31208.04
Ayodhya nagar,5,4,2532,Semi Furnished,New,105.2,122600.32
Avadhpuri,5,4,2462,Unfurnished,10+ years,116.31,124244.67
Habibganj,3,3,1363,Fully Furnished,10+ years,83.29,75447.6
Kamla Nagar,3,3,1019,Semi Furnished,1-5 years,51.06,51540.16
Habibganj,2,2,1059,Semi Furnished,New,46.6,54158.93
Ratnagiri,4,3,1558,Fully Furnished,New,68.29,54875.32
Shivaji Nagar,3,3,1223,Semi Furnished,10+ years,57.13,53526.07
Misrod,3,3,1214,Unfurnished,10+ years,74.77,70868.33
Piplani,3,3,1434,Unfurnished,1-5 years,72.2,76600.1
Kolar hills,4,3,1764,Semi Furnished,1-5 years,74.51,81924.76
Shyamla Hills,5,4,2621,Semi Furnished,10+ years,117.15,136713.19
Shivaji Nagar,3,3,1430,Unfurnished,10+ years,70.41,73442.63
eidgah hills,2,2,740,Unfurnished,5-10 years,34.0,29659.15
Service road,2,2,933,Fully Furnished,5-10 years,45.62,47997.62
Minal,4,3,2161,Semi Furnished,10+ years,106.62,116910.21
Kolar Road,2,2,1019,Semi Furnished,5-10 years,67.02,66052.82
Karond,5,4,2938,Fully Furnished,1-5 years,157.41,185076.29
eidgah hills,2,2,1181,Semi Furnished,10+ years,57.62,46327.88
Minal,3,3,1039,Semi Furnished,10+ years,62.53,69257.34
Roshanpura,4,3,1489,Semi Furnished,1-5 years,75.77,76490.24
char Imli,3,3,1383,Semi Furnished,New,95.22,91728.53
Narela,5,4,2805,Fully Furnished,5-10 years,154.42,127350.01
Roshanpura,3,3,1446,Unfurnished,1-5 years,75.34,63368.63
Service road,5,4,2152,Unfurnished,1-5 years,97.94,97989.1
Nizamuddin colony,3,3,1030,Semi Furnished,5-10 years,61.0,60074.64
chuna bhatti,2,2,1021,Semi Furnished,1-5 years,50.92,53223.38
Saket nagar,2,2,1068,Unfurnished,1-5 years,50.56,44480.71
Anand nagar,2,2,1099,Semi Furnished,New,69.28,79085.67
Barkheda,5,4,2895,Fully Furnished,5-10 years,120.91,100961.91
sultaniya road,4,3,2018,Unfurnished,10+ years,110.48,111897.42
MP Nagar,1,1,793,Unfurnished,5-10 years,46.02,44417.9
Gulmohar,4,3,1546,Semi Furnished,New,85.95,88480.52
VIP road,5,4,2286,Fully Furnished,10+ years,138.21,110666.09
Kolar hills,1,1,499,Fully Furnished,New,31.71,37382.4
MP Nagar,1,1,746,Unfurnished,New,30.22,28214.36
Ayodhya bypass,2,2,844,Fully Furnished,10+ years,55.22,56932.14
Prabhat petrol pump,1,1,725,Semi Furnished,5-10 years,48.49,41859.14
Shivaji Nagar,2,2,1168,Unfurnished,1-5 years,78.28,86601.97
New market,2,2,850,Unfurnished,New,41.43,40167.15
chuna bhatti,1,1,522,Semi Furnished,New,36.33,41335.15
Gandhi nagar,2,2,1116,Unfurnished,10+ years,76.77,88790.69
Misrod,3,3,1310,Fully Furnished,1-5 years,73.25,72289.94
Ratnagiri,3,3,1039,Fully Furnished,10+ years,50.67,43376.7
Anand nagar,5,4,2433,Semi Furnished,5-10 years,118.12,104881.56
MP Nagar,4,3,1680,Unfurnished,1-5 years,110.42,94895.59
