location,floors,rooms,washroom,total_sqft,furnishing,age,price,rent
Piplani,2,4,2,1134,Unfurnished,21,7839620,23568
chuna bhatti,4,9,3,2380,Unfurnished,7,11184848,30822
Kolar hills,1,1,3,471,Semi-Furnished,10,2301852,8997
Bittan Market,5,7,2,4577,Semi-Furnished,9,31979001,99323
Shyamla Hills,1,1,1,449,Furnished,8,3335607,10384
Karond,1,1,3,485,Semi-Furnished,4,2387632,5377
Karond,4,5,4,2731,Semi-Furnished,20,13449702,36461
Bairagarh,5,10,4,3665,Unfurnished,28,16418777,44734
MP Nagar,4,7,2,2321,Furnished,5,18606276,58912
Piplani,5,5,3,3187,Furnished,28,22371879,70373
Ayodhya bypass,4,12,1,3274,Unfurnished,13,17291548,52986
Chuna Bhatti,1,1,1,619,Furnished,30,2853300,6467
eidgah hills,4,5,2,2013,Furnished,19,12090190,41326
Kolar Road,5,15,3,4845,Unfurnished,19,24322079,71111
Vijay nagar,4,5,2,2038,Unfurnished,30,14712672,48557
Sonagiri,1,1,2,490,Furnished,6,2236271,6535
Shanti Nagar,5,15,3,4709,Furnished,23,27871017,87596
Shivaji Nagar,4,4,4,2280,Furnished,13,13637237,44844
Prabhat petrol pump,3,3,1,1299,Furnished,1,6363299,19432
Shanti Nagar,4,13,1,3356,Semi-Furnished,6,19708117,62337
jahangirabad,5,12,3,3700,Furnished,28,16993125,44755
Gandhi nagar,5,9,1,3362,Unfurnished,5,20745895,78263
Lalghati,1,1,4,640,Unfurnished,15,3159891,9817
Bittan Market,1,2,4,617,Unfurnished,13,4329623,11786
Lalghati,2,2,1,894,Unfurnished,20,4308545,14052
Arera Colony,1,3,1,755,Unfurnished,13,5635396,17457
Chuna Bhatti,2,3,3,1157,Unfurnished,17,5358117,15927
Tajul masjid,4,7,4,2395,Unfurnished,6,13147932,42615
sultaniya road,3,5,3,1704,Furnished,3,8930435,28378
Sonagiri,4,12,2,3283,Unfurnished,3,15003792,40765
Service road,5,5,4,3039,Furnished,1,17560732,57102
Minal,3,4,3,1792,Semi-Furnished,1,8358673,24587
Habibganj,2,2,1,1102,Furnished,13,6060572,19828
Gandhi nagar,1,1,1,623,Semi-Furnished,21,3787802,13048
Anand nagar,1,1,4,596,Unfurnished,6,3556742,12295
Barkheda,1,1,3,550,Unfurnished,1,2353070,7470
Tajul masjid,4,7,3,2284,Furnished,9,12475865,39326
Karond,2,4,2,1146,Unfurnished,28,5638975,17766
Vikas Nagar,1,2,2,657,Furnished,30,4505519,14999
Service road,5,17,2,4637,Furnished,17,26899335,89005
MP Nagar,3,4,2,1860,Unfurnished,3,14911284,46393
Ashoka garden,5,12,4,4595,Semi-Furnished,12,23985941,73756
Misrod,2,2,3,904,Furnished,13,3880595,10608
Narela,3,5,3,1940,Furnished,10,8350870,22480
Bairagarh,4,8,1,2938,Furnished,7,13247992,36590
Hoshangabad Road,4,6,2,2548,Unfurnished,29,13003412,39051
MP Nagar,1,1,4,420,Semi-Furnished,18,3288944,11962
Minal,5,15,3,4295,Furnished,16,20126499,55046
MP Nagar,3,3,2,1917,Semi-Furnished,25,15272882,47491
Hoshangabad Road,2,3,2,850,Furnished,7,4341259,13648
Vikas Nagar,1,2,3,547,Unfurnished,24,3753315,10925
char Imli,2,2,3,995,Furnished,15,6477683,21917
jahangirabad,5,15,1,4527,Furnished,26,20797147,52467
Vijay nagar,2,3,2,917,Unfurnished,24,6669568,20981
Misrod,4,5,4,2843,Furnished,28,11945522,29643
Roshanpura,2,3,4,899,Furnished,11,4402185,12956
Ayodhya nagar,4,10,2,3194,Unfurnished,24,19788366,73758
Avadhpuri,5,15,2,4002,Furnished,11,17545201,52076
Gandhi nagar,1,1,4,531,Furnished,26,3287202,12885
chuna bhatti,4,8,3,3377,Furnished,26,15832442,43605
Arera Colony,5,11,1,4248,Semi-Furnished,14,31923947,102232
eidgah hills,1,1,2,435,Furnished,12,2688659,9844
Arera Colony,2,3,4,871,Furnished,29,6514328,21307
Saket nagar,5,10,4,3183,Semi-Furnished,15,21636394,72133
Bittan Market,5,13,4,3908,Unfurnished,7,27397595,86090
Anand nagar,2,4,1,1199,Unfurnished,23,6890190,23680
Bawadiya Kalan,4,12,3,3249,Semi-Furnished,1,14699598,38610
MP Nagar,2,4,3,1165,Furnished,8,9269682,27805
Narela,3,3,1,1467,Semi-Furnished,14,6295549,15506
Gulmohar,1,2,1,781,Furnished,11,4997602,14647
Vikas Nagar,1,1,2,420,Unfurnished,13,2855346,11488
sultaniya road,4,7,2,3300,Unfurnished,12,17172646,50953
Ashoka garden,5,19,2,4775,Furnished,24,24747330,77212
Lalghati,4,4,1,2233,Furnished,11,10670420,30806
Ayodhya nagar,2,2,2,1076,Semi-Furnished,19,6706659,24946
Minal,3,4,4,1406,Unfurnished,15,6586562,17042
Barkheda,4,4,2,2039,Semi-Furnished,13,9019047,28228
Ayodhya nagar,5,5,3,3010,Furnished,15,18563883,71002
Barkheda,5,6,1,3779,Furnished,24,16592782,50561
Karond,2,3,4,836,Unfurnished,8,4170896,13617
Misrod,5,9,2,4682,Furnished,11,19622018,51342
Chuna Bhatti,4,7,2,2190,Furnished,12,10360343,26995
Vikas Nagar,2,2,3,1047,Semi-Furnished,27,7106965,25675
Arera Colony,5,14,1,3965,Furnished,14,29828932,96182
eidgah hills,1,2,2,771,Semi-Furnished,24,4579813,13732
Ratnagiri,4,7,2,2134,Furnished,25,10088704,28074
Barkheda,2,4,1,1119,Unfurnished,29,4848380,12729
Govindpura,4,8,1,2248,Unfurnished,7,11957603,36692
Govindpura,5,15,1,4100,Unfurnished,17,21650703,65387
Bawadiya Kalan,1,1,2,738,Semi-Furnished,2,3340629,9721
Barkheda,2,2,2,878,Furnished,10,3923460,10928
Bairagarh,2,2,4,892,Semi-Furnished,29,3956817,9130
Karond,5,14,4,3876,Furnished,11,18962995,54887
Prabhat petrol pump,2,4,4,1163,Furnished,9,5605212,15418
ibrahimpura,5,18,2,4888,Unfurnished,5,21075863,53867
Ashoka garden,4,4,1,2346,Semi-Furnished,22,12198513,39166
Chuna Bhatti,4,5,2,2045,Furnished,28,9575714,27005
Hoshangabad Road,2,4,4,1010,Semi-Furnished,13,5115707,16506
Lalghati,2,2,2,933,Unfurnished,5,4533755,13122
VIP road,5,15,3,3863,Semi-Furnished,2,25196467,80532
Ayodhya bypass,5,12,3,4648,Furnished,1,24618112,74230
Nizamuddin colony,1,1,1,736,Semi-Furnished,23,4852624,16910
Indrapuri,4,4,4,2412,Semi-Furnished,5,9561084,22668
Govindpura,2,3,4,1135,Unfurnished,3,6056813,17988
Misrod,3,4,3,1295,Furnished,10,5449842,15219
Arjun Nagar,2,4,3,1142,Furnished,17,6860548,23497
Kamla Nagar,1,1,3,461,Unfurnished,23,2308135,7180
Ashoka garden,1,3,2,763,Furnished,13,3930853,10394
Govindpura,5,7,3,3875,Semi-Furnished,23,20537715,60892
Chuna Bhatti,4,9,2,3057,Furnished,4,14432800,38577
Misrod,3,4,2,1218,Semi-Furnished,16,5067148,14949
Nizamuddin colony,5,10,1,4162,Furnished,14,27057761,88851
Kolar hills,4,11,1,2941,Unfurnished,13,14671749,42977
Lalghati,2,4,2,1161,Furnished,26,5619440,14839
Service road,1,2,1,714,Semi-Furnished,28,4187803,11792
Prabhat petrol pump,4,8,2,2768,Furnished,18,13505543,37680
New market,4,9,1,3089,Furnished,18,21525103,67766
Ratnagiri,4,5,2,3298,Semi-Furnished,9,15464901,41097
Karond,1,2,1,521,Semi-Furnished,1,2489386,6978
VIP road,1,2,2,681,Semi-Furnished,9,4340402,14889
Vikas Nagar,5,11,1,3397,Furnished,15,23025564,79566
MP Nagar,4,8,1,2768,Furnished,10,22061390,70839
Misrod,5,7,3,4712,Furnished,26,19749222,52970
Indrapuri,1,1,4,462,Furnished,14,1890714,2874
ibrahimpura,1,2,4,665,Unfurnished,17,2905824,5733
Service road,1,1,3,591,Semi-Furnished,28,3349713,13099
Avadhpuri,2,3,2,1019,Unfurnished,12,4538521,13562
Arera Colony,5,11,4,4945,Semi-Furnished,21,37149941,120045
Lalghati,5,14,1,3634,Semi-Furnished,0,17530904,51626
Habibganj,3,3,2,1888,Furnished,14,10449417,32238
Arjun Nagar,5,14,2,4954,Semi-Furnished,25,29717609,98656
Bawadiya Kalan,3,5,2,1808,Unfurnished,14,8225739,21096
Arera Colony,5,12,4,3335,Semi-Furnished,6,24962569,81189
Ayodhya nagar,4,9,1,3370,Furnished,20,20959072,77486
Minal,2,3,4,873,Semi-Furnished,0,4044246,12281
Kolar hills,2,3,3,942,Unfurnished,22,4613733,12806
jahangirabad,5,12,2,4575,Furnished,16,21002315,55299
Shanti Nagar,1,1,3,458,Furnished,7,2677516,9636
Arjun Nagar,2,2,2,961,Unfurnished,12,5831169,18204
Govindpura,5,18,4,4593,Semi-Furnished,25,24429191,72125
Arjun Nagar,4,8,2,2761,Semi-Furnished,30,16578308,54709
Bittan Market,1,3,2,773,Unfurnished,8,5424679,18978
eidgah hills,5,11,1,4196,Furnished,5,25084848,83068
Hoshangabad Road,3,3,1,1425,Furnished,13,7312487,20710
Bittan Market,2,3,4,954,Semi-Furnished,2,6716967,19895
sultaniya road,2,4,1,1012,Semi-Furnished,0,5337433,15017
Vikas Nagar,2,3,4,1137,Semi-Furnished,16,7636490,25772
MP Nagar,5,13,3,3390,Furnished,28,27194777,83592
Barkheda,5,10,1,3002,Semi-Furnished,29,13272821,38400
Kolar Road,5,5,3,3430,Furnished,18,17050728,49884
Nizamuddin colony,1,2,1,723,Semi-Furnished,0,4784123,16177
Shivaji Nagar,1,2,3,574,Furnished,11,3457743,12935
chuna bhatti,4,5,1,2630,Semi-Furnished,24,12325286,34837
Lalghati,3,3,2,1600,Furnished,15,7630063,21721
VIP road,4,12,4,3305,Semi-Furnished,29,21456771,68400
sultaniya road,2,3,3,968,Semi-Furnished,11,5124584,14363
Avadhpuri,4,4,4,2458,Furnished,11,10891198,33281
Arera Colony,2,3,1,808,Semi-Furnished,6,6090590,21234
Arera Colony,5,5,3,3918,Furnished,5,29370064,94917
Kolar hills,4,4,2,2078,Semi-Furnished,21,10414960,32029
Vijay nagar,5,13,2,4863,Semi-Furnished,5,35041463,118258
Gulmohar,5,12,3,4875,Furnished,22,31153947,103252
Ashoka garden,4,4,4,3200,Unfurnished,24,16588832,53080
Shivaji Nagar,5,13,1,3448,Unfurnished,4,20735011,69813
Shivaji Nagar,2,3,1,961,Furnished,26,5680466,17740
Vikas Nagar,4,6,1,2574,Furnished,14,17489675,57731
Lalghati,3,6,1,1700,Semi-Furnished,25,8175347,22178
Misrod,1,2,2,534,Furnished,13,2305875,4586
Tajul masjid,3,6,4,1576,Furnished,0,8743075,27837
Bawadiya Kalan,4,10,1,2615,Furnished,17,11726739,33017
Shanti Nagar,5,5,1,3219,Semi-Furnished,0,19044601,61595
Arera Colony,2,3,2,1107,Unfurnished,16,8388020,27164
Ashoka garden,1,1,1,428,Unfurnished,23,2258066,5669
Kolar hills,1,3,1,778,Semi-Furnished,13,3863686,11321
Kolar hills,2,3,3,1139,Semi-Furnished,2,5651060,17642
Lalghati,3,3,4,1977,Semi-Furnished,26,9421060,27352
Kolar Road,1,1,2,517,Furnished,27,2680285,6435
Roshanpura,3,6,2,1660,Unfurnished,20,7959229,24128
Lalghati,5,8,4,3021,Unfurnished,17,14460785,44204
Anand nagar,1,3,4,776,Semi-Furnished,1,4481080,14792
Barkheda,5,11,3,4564,Semi-Furnished,25,20145060,60665
Gandhi nagar,2,4,3,1199,Unfurnished,27,7491061,28809
Misrod,3,3,2,1559,Furnished,7,6611589,16503
Kolar Road,2,3,4,1126,Unfurnished,9,5544884,16041
Lalghati,1,1,3,410,Unfurnished,29,1934801,7307
ibrahimpura,1,1,1,495,Furnished,4,2126944,3446
New market,1,2,3,739,Furnished,11,5214487,15011
Bawadiya Kalan,3,6,4,1861,Semi-Furnished,24,8378034,21315
Gandhi nagar,1,1,1,548,Semi-Furnished,10,3309093,13837
Karond,3,5,4,1304,Semi-Furnished,25,6308970,18513
New market,5,9,1,3223,Semi-Furnished,4,22520448,68924
Piplani,1,1,2,640,Semi-Furnished,17,4579337,13815
Piplani,4,10,4,3155,Furnished,12,22038228,69200
Saket nagar,2,2,2,979,Unfurnished,18,6737268,23466
Narela,3,3,3,1997,Furnished,25,8523170,21911
VIP road,3,7,1,1996,Unfurnished,5,12874266,42645
jahangirabad,1,2,4,657,Furnished,0,2944881,9820
Sonagiri,3,6,4,1506,Furnished,22,6926795,17646
Ayodhya bypass,3,5,3,1621,Unfurnished,25,8568000,25026
Ratnagiri,5,9,3,4286,Semi-Furnished,14,20175515,56084
Gandhi nagar,4,6,4,2410,Unfurnished,0,15034916,54904
Service road,5,5,3,3321,Furnished,17,19342779,64512
Bawadiya Kalan,5,5,3,4519,Semi-Furnished,6,20432311,52352
Bittan Market,2,3,4,842,Furnished,17,5916784,19671
Karond,4,6,4,2799,Furnished,5,13709452,38070
New market,1,1,3,489,Furnished,13,3502822,12608
sultaniya road,2,4,3,1094,Semi-Furnished,14,5786855,18117
Avadhpuri,5,10,2,4863,Furnished,5,21496390,61862
Sonagiri,5,7,1,3292,Semi-Furnished,6,15215691,39298
Tajul masjid,2,3,2,1169,Furnished,15,6333704,20950
Piplani,3,5,2,1755,Semi-Furnished,14,12261394,37732
Ashoka garden,4,4,1,2911,Furnished,3,15061360,46012
Hoshangabad Road,2,4,3,1019,Unfurnished,12,5121307,13837
kohefiza,5,15,3,3812,Semi-Furnished,9,17211165,46104
VIP road,5,6,4,4023,Unfurnished,5,26077341,82604
chuna bhatti,3,3,2,1706,Semi-Furnished,4,8034898,21860
Habibganj,2,2,4,990,Semi-Furnished,29,5458445,19629
Sonagiri,3,7,3,1828,Semi-Furnished,23,8453659,20807
Habibganj,5,11,1,3563,Unfurnished,4,19518798,63519
Ayodhya nagar,5,17,3,4543,Semi-Furnished,21,28223118,102596
Ayodhya bypass,4,10,1,2717,Semi-Furnished,17,14405244,41788
Arera Colony,4,8,1,2004,Semi-Furnished,17,15054576,48168
New market,2,3,2,960,Unfurnished,30,6630615,22786
Arjun Nagar,5,5,4,3754,Semi-Furnished,18,22585873,73168
Chuna Bhatti,3,3,2,1864,Furnished,24,8763841,23073
Ayodhya nagar,5,7,1,4513,Furnished,16,28019992,105750
Ayodhya bypass,2,2,4,830,Unfurnished,30,4378244,11898
Ayodhya bypass,1,1,2,798,Semi-Furnished,3,4308866,12030
Govindpura,3,3,3,1750,Furnished,4,9203972,27870
chuna bhatti,5,5,2,4502,Unfurnished,7,21236443,59083
Ayodhya nagar,5,11,1,4495,Semi-Furnished,29,27923430,104899
Saket nagar,5,10,4,3698,Unfurnished,22,25094064,84063
Minal,5,10,1,3372,Unfurnished,26,15796199,45708
Misrod,5,6,3,3150,Unfurnished,24,13205247,36337
Service road,4,6,1,2213,Semi-Furnished,13,12853301,40478
char Imli,5,8,4,3820,Unfurnished,22,25218085,79779
Karond,5,12,4,4705,Unfurnished,29,22990322,65538
Gandhi nagar,4,5,3,2806,Furnished,11,17301181,64870
Arjun Nagar,4,8,2,2813,Unfurnished,9,16817466,54622
Govindpura,1,1,2,520,Unfurnished,10,2704016,6509
Prabhat petrol pump,1,1,2,442,Furnished,11,2165928,5443
Minal,1,1,2,458,Furnished,2,2138645,6350
VIP road,3,6,1,1915,Semi-Furnished,22,12453403,39385
MP Nagar,2,2,3,810,Semi-Furnished,30,6452798,22089
Piplani,4,9,4,3266,Furnished,26,22944409,71188
Sonagiri,4,8,3,2328,Unfurnished,8,10636580,26177
Karond,2,2,1,1118,Unfurnished,0,5381801,15998
Misrod,4,5,4,2728,Semi-Furnished,13,11494068,31728
Sonagiri,2,3,3,825,Unfurnished,18,3881131,9976
Saket nagar,1,1,3,507,Furnished,20,3499390,10031
Sonagiri,5,8,4,3964,Semi-Furnished,23,18231706,49552
Hoshangabad Road,1,2,2,761,Furnished,21,3947829,12455
Bawadiya Kalan,4,9,2,2904,Semi-Furnished,26,13162574,34213
Ayodhya bypass,3,7,4,1764,Unfurnished,1,9339528,27327
Lalghati,4,7,2,2662,Unfurnished,19,12868814,38366
Piplani,4,4,4,2503,Semi-Furnished,22,17570253,56303
Kamla Nagar,4,7,4,3053,Unfurnished,5,15974311,47088
Avadhpuri,5,12,3,3427,Furnished,17,14993346,43847
Nizamuddin colony,4,10,3,3305,Furnished,23,21454816,70844
Kamla Nagar,5,13,4,3546,Semi-Furnished,20,18521040,54910
char Imli,2,2,1,883,Unfurnished,10,5897729,17187
Hoshangabad Road,2,3,2,917,Furnished,10,4764829,13860
Misrod,3,3,3,1962,Semi-Furnished,11,8311220,21277
Ratnagiri,2,3,1,803,Furnished,30,3777748,11401
VIP road,2,2,3,1170,Furnished,30,7525384,24936
Service road,4,4,2,2083,Furnished,12,11988424,38131
Service road,2,3,1,1118,Semi-Furnished,14,6422044,23212
Piplani,4,6,2,3150,Furnished,2,22088734,68177
Kolar Road,4,7,3,2798,Semi-Furnished,29,13909586,43215
Ayodhya nagar,4,5,4,2495,Furnished,25,15371103,58372
Kolar Road,2,3,4,848,Unfurnished,21,4242833,13676
Shyamla Hills,3,5,4,1337,Furnished,22,10107387,32658
kohefiza,1,1,1,713,Unfurnished,3,3291386,9481
MP Nagar,1,3,3,770,Unfurnished,24,6171648,18054
Govindpura,5,11,1,3673,Unfurnished,3,19485120,56825
Ashoka garden,4,4,2,2173,Unfurnished,29,11309935,35617
Shyamla Hills,2,2,1,1181,Semi-Furnished,30,8836962,29771
Govindpura,1,2,3,785,Semi-Furnished,21,4106697,11536
Kamla Nagar,3,5,3,1858,Furnished,22,9642561,31576
char Imli,5,11,2,4758,Semi-Furnished,27,31448160,100800
eidgah hills,3,6,2,1529,Unfurnished,19,9206713,31899
Habibganj,3,3,4,1508,Unfurnished,20,8209682,25344
ibrahimpura,3,5,1,1376,Furnished,21,5909446,15835
Prabhat petrol pump,5,8,1,3803,Unfurnished,16,18635566,51557
Bairagarh,5,10,4,4228,Unfurnished,12,18943204,51157
Shyamla Hills,1,1,2,435,Semi-Furnished,15,3249284,12651
Anand nagar,1,3,1,779,Furnished,28,4491916,16529
Ayodhya nagar,3,3,3,1535,Furnished,7,9492440,34021
sultaniya road,2,4,1,1123,Semi-Furnished,16,5917593,17140
kohefiza,3,5,3,1698,Semi-Furnished,2,7624438,21890
Shivaji Nagar,2,2,2,1111,Unfurnished,11,6731263,24135
Gandhi nagar,5,8,1,4504,Unfurnished,16,28021365,104601
Shivaji Nagar,4,7,2,2600,Semi-Furnished,26,15528965,52692
Kolar hills,1,1,2,439,Unfurnished,10,2147381,4814
Roshanpura,5,7,1,3123,Semi-Furnished,12,14977670,42172
New market,4,6,1,2052,Furnished,11,14270200,46015
Tajul masjid,3,5,1,1766,Semi-Furnished,17,9759134,30487
Vijay nagar,1,1,1,462,Unfurnished,23,3246682,12074
Shivaji Nagar,3,5,2,1487,Unfurnished,29,8998952,31356
sultaniya road,1,1,4,516,Unfurnished,18,2752094,8166
Narela,1,1,1,417,Unfurnished,27,1819860,5764
Vikas Nagar,1,1,1,492,Furnished,14,3257986,13012
Lalghati,4,8,2,2629,Semi-Furnished,12,12541287,36985
ibrahimpura,3,3,1,1764,Unfurnished,24,7575978,21210
Shyamla Hills,4,5,1,2117,Unfurnished,16,15832759,54530
Misrod,1,2,1,719,Furnished,26,3029714,6018
Minal,4,5,2,3004,Furnished,10,14099684,39644
char Imli,4,5,3,2821,Semi-Furnished,11,18672883,59802
Gulmohar,2,3,2,989,Unfurnished,1,6358578,20644
Chuna Bhatti,5,8,1,3125,Unfurnished,27,14770761,40332
Narela,2,2,4,1080,Unfurnished,7,4733743,12704
eidgah hills,3,5,3,1872,Unfurnished,26,11234705,38727
Prabhat petrol pump,4,4,4,2045,Furnished,8,10103621,28061
Arera Colony,4,11,2,2905,Semi-Furnished,19,21882049,71013
Tajul masjid,3,7,2,1823,Unfurnished,24,10002320,32754
char Imli,1,1,3,496,Furnished,0,3364751,12389
char Imli,4,8,2,2317,Unfurnished,3,15318121,49598
Avadhpuri,5,9,4,3212,Semi-Furnished,12,14162203,42470
Bittan Market,3,4,1,1515,Semi-Furnished,29,10627404,31614
Bairagarh,1,1,1,573,Unfurnished,18,2481300,7040
Bawadiya Kalan,3,3,4,1692,Furnished,0,7599357,19823
Roshanpura,1,2,2,751,Furnished,12,3628974,12250
kohefiza,3,6,3,1562,Furnished,9,6966292,20298
Chuna Bhatti,3,6,1,1670,Semi-Furnished,5,7944741,23225
Hoshangabad Road,2,2,2,994,Unfurnished,27,5042231,14272
Vijay nagar,2,2,3,864,Furnished,16,6253286,19000
Avadhpuri,1,1,3,417,Furnished,16,1863792,6192
Misrod,1,2,4,606,Semi-Furnished,26,2573084,4944
MP Nagar,2,2,3,977,Furnished,6,7763411,25025
Govindpura,4,9,4,2857,Unfurnished,22,15105983,45669
Prabhat petrol pump,5,11,2,3259,Furnished,18,16005393,45340
Misrod,4,12,4,3450,Unfurnished,10,14452739,36154
Ayodhya nagar,2,4,2,1144,Furnished,8,7114903,28200
Shivaji Nagar,2,2,3,1018,Unfurnished,4,6064684,22290
Shanti Nagar,1,1,2,651,Unfurnished,13,3891237,11437
Govindpura,2,3,3,912,Unfurnished,7,4847458,15845
Tajul masjid,3,3,1,1777,Furnished,14,9774277,30384
Barkheda,5,8,4,4688,Semi-Furnished,24,20652178,59335
Gulmohar,1,1,2,578,Unfurnished,11,3615364,11522
Nizamuddin colony,5,9,4,4135,Unfurnished,23,26848791,85855
Shivaji Nagar,3,5,4,1634,Unfurnished,28,9733597,31095
Sonagiri,4,8,2,3422,Furnished,22,15775664,40930
Hoshangabad Road,3,4,2,1264,Semi-Furnished,18,6450206,18568
MP Nagar,2,3,3,894,Furnished,10,7055180,22667
Vijay nagar,1,3,3,798,Semi-Furnished,23,5821208,17872
Bairagarh,1,1,2,495,Unfurnished,25,2260004,5570
Vijay nagar,4,8,3,2888,Furnished,17,20773754,70967
Bairagarh,4,5,2,2773,Unfurnished,25,12554196,31381
MP Nagar,1,1,3,489,Unfurnished,8,3813584,13646
Narela,4,5,1,3403,Semi-Furnished,10,14562206,39375
Gulmohar,5,16,4,4278,Furnished,6,27374215,88537
Barkheda,1,2,1,594,Unfurnished,16,2589939,8702
MP Nagar,3,3,1,1563,Semi-Furnished,30,12587496,39806
Minal,2,3,1,979,Furnished,13,4571436,12402
Arera Colony,4,9,3,2579,Semi-Furnished,7,19386872,60904
Kolar Road,2,3,2,1186,Furnished,11,5987055,17711
VIP road,2,2,3,949,Semi-Furnished,19,6092024,20192
Sonagiri,2,2,4,1000,Unfurnished,25,4588449,13620
Piplani,5,9,3,3104,Semi-Furnished,0,21694251,69225
eidgah hills,3,5,1,1449,Furnished,9,8647802,30975
chuna bhatti,3,6,1,1777,Furnished,30,8346825,24322
Kolar Road,2,3,2,949,Furnished,19,4823192,15073
Tajul masjid,5,9,4,4484,Semi-Furnished,30,24743483,81476
Ayodhya nagar,3,3,3,1226,Semi-Furnished,15,7621315,27247
MP Nagar,3,4,4,1294,Unfurnished,18,10321464,30543
Roshanpura,1,1,3,705,Semi-Furnished,20,3370864,10570
char Imli,3,5,4,1330,Semi-Furnished,11,8761397,27954
Govindpura,2,4,1,1041,Furnished,1,5566728,18338
